id,CON_DS2U,CON_H9,CON_IMR,DS_2DS3,DS_DSP
NUP54,5087.0,4526.0,4599.0,4388.0,4899.0
AC110795.1,268.0,281.0,280.0,304.0,270.0
SCARB2,5127.0,5181.0,5095.0,6121.0,4955.0
FAM47E,158.0,157.0,195.0,140.0,99.0
AC034139.1,139.0,163.0,121.0,146.0,91.0
STBD1,110.0,174.0,146.0,164.0,78.0
CCDC158,1.0,2.0,5.0,9.0,2.0
SHROOM3,21774.0,18702.0,24860.0,12924.0,16936.0
AC107072.2,738.0,656.0,1006.0,506.0,612.0
AC107072.1,0.0,0.0,0.0,0.0,0.0
SOWAHB,3.0,4.0,4.0,12.0,2.0
SEPTIN11,22604.0,20489.0,20898.0,21531.0,27371.0
CCNI,62963.0,63734.0,69907.0,77846.0,66248.0
CCNG2,4688.0,5142.0,4824.0,5558.0,5218.0
AC092674.1,54.0,63.0,67.0,51.0,56.0
CXCL13,100.0,84.0,93.0,89.0,129.0
